key[9..0]  | key1[7..0]
0110010000   |  00000101  
0110010001   |  00000111  
0110010010   |  00100101  
0110010011   |  00100111  
0110010100   |  00001101  
0110010101   |  00001111  
0110010110   |  00101101  
0110010111   |  00101111  
0110011000   |  01000101  
0110011001   |  01000111  
0110011010   |  01100101  
0110011011   |  01100111  
0110011100   |  01001101  
0110011101   |  01001111  
0110011110   |  01101101  
0110011111   |  01101111  
0110100000   |  00000100  
0110100001   |  00000110  
0110100010   |  00100100  
0110100011   |  00100110  
0110100100   |  00001100  
0110100101   |  00001110  
0110100110   |  00101100  
0110100111   |  00101110  
0110101000   |  01000100  
0110101001   |  01000110  
0110101010   |  01100100  
0110101011   |  01100110  
0110101100   |  01001100  
0110101101   |  01001110  
0110101110   |  01101100  
0110101111   |  01101110  
0110110000   |  00000101  
0110110001   |  00000111  
0110110010   |  00100101  
0110110011   |  00100111  
0110110100   |  00001101  
0110110101   |  00001111  
0110110110   |  00101101  
0110110111   |  00101111  
0110111000   |  01000101  
0110111001   |  01000111  
0110111010   |  01100101  
0110111011   |  01100111  
0110111100   |  01001101  
0110111101   |  01001111  
0110111110   |  01101101  
0110111111   |  01101111  
0111000000   |  00010100  
0111000001   |  00010110  
0111000010   |  00110100  
0111000011   |  00110110  
0111000100   |  00011100  
0111000101   |  00011110  
0111000110   |  00111100  
0111000111   |  00111110  
0111001000   |  01010100  
0111001001   |  01010110  
0111001010   |  01110100  
0111001011   |  01110110  
0111001100   |  01011100  
0111001101   |  01011110  
0111001110   |  01111100  
0111001111   |  01111110  
0111010000   |  00010101  
0111010001   |  00010111  
0111010010   |  00110101  
0111010011   |  00110111  
0111010100   |  00011101  
0111010101   |  00011111  
0111010110   |  00111101  
0111010111   |  00111111  
0111011000   |  01010101  
0111011001   |  01010111  
0111011010   |  01110101  
0111011011   |  01110111  
0111011100   |  01011101  
0111011101   |  01011111  
0111011110   |  01111101  
0111011111   |  01111111  
0111100000   |  00010100  
0111100001   |  00010110  
0111100010   |  00110100  
0111100011   |  00110110  
0111100100   |  00011100  
0111100101   |  00011110  
0111100110   |  00111100  
0111100111   |  00111110  
0111101000   |  01010100  
0111101001   |  01010110  
0111101010   |  01110100  
0111101011   |  01110110  
0111101100   |  01011100  
0111101101   |  01011110  
0111101110   |  01111100  
0111101111   |  01111110  
0111110000   |  00010101  
0111110001   |  00010111  
0111110010   |  00110101  
0111110011   |  00110111  
0111110100   |  00011101  
0111110101   |  00011111  
0111110110   |  00111101  
0111110111   |  00111111  
0111111000   |  01010101  
0111111001   |  01010111  
0111111010   |  01110101  
0111111011   |  01110111  
0111111100   |  01011101  
0111111101   |  01011111  
0111111110   |  01111101  
0111111111   |  01111111  
1000000000   |  10000000  
1000000001   |  10000010  
1000000010   |  10100000  
1000000011   |  10100010  
1000000100   |  10001000  
1000000101   |  10001010  
1000000110   |  10101000  
1000000111   |  10101010  
1000001000   |  11000000  
1000001001   |  11000010  
1000001010   |  11100000  
1000001011   |  11100010  
1000001100   |  11001000  
1000001101   |  11001010  
1000001110   |  11101000  
1000001111   |  11101010  
1000010000   |  10000001  
1000010001   |  10000011  
1000010010   |  10100001  
1000010011   |  10100011  
1000010100   |  10001001  
1000010101   |  10001011  
1000010110   |  10101001  
1000010111   |  10101011  
1000011000   |  11000001  
1000011001   |  11000011  
1000011010   |  11100001  
1000011011   |  11100011  
1000011100   |  11001001  
1000011101   |  11001011  
1000011110   |  11101001  
1000011111   |  11101011  
1000100000   |  10000000  
1000100001   |  10000010  
1000100010   |  10100000  
1000100011   |  10100010  
1000100100   |  10001000  
1000100101   |  10001010  
1000100110   |  10101000  
1000100111   |  10101010  
1000101000   |  11000000  
1000101001   |  11000010  
1000101010   |  11100000  
1000101011   |  11100010  
1000101100   |  11001000  
1000101101   |  11001010  
1000101110   |  11101000  
1000101111   |  11101010  
1000110000   |  10000001  
1000110001   |  10000011  
1000110010   |  10100001  
1000110011   |  10100011  
1000110100   |  10001001  
1000110101   |  10001011  
1000110110   |  10101001  
1000110111   |  10101011  
1000111000   |  11000001  
1000111001   |  11000011  
1000111010   |  11100001  
1000111011   |  11100011  
1000111100   |  11001001  
1000111101   |  11001011  
1000111110   |  11101001  
1000111111   |  11101011  
1001000000   |  10010000  
1001000001   |  10010010  
1001000010   |  10110000  
1001000011   |  10110010  
